number,multiplicity,wyckoff,wyckoff_in_space,site_symmetry,coordinates
76,6,g,j,.2.,"(x,0,0) (0,x,0) (-x,-x,0) (-x,0,0) (0,-x,0) (x,x,0)"
76,6,f,i,2..,"(1/2,0,z) (0,1/2,z) (1/2,1/2,z) (0,1/2,-z) (1/2,0,-z) (1/2,1/2,-z)"
76,4,e,h,3..,"(1/3,2/3,z) (2/3,1/3,z) (2/3,1/3,-z) (1/3,2/3,-z)"
76,3,d,f,222,"(1/2,0,0) (0,1/2,0) (1/2,1/2,0)"
76,2,c,e,6..,"(0,0,z) (0,0,-z)"
76,2,b,c,3.2,"(1/3,2/3,0) (2/3,1/3,0)"
76,1,a,a,622,"(0,0,0)"
77,12,f,f,1,"(x,y,z) (-y,x-y,z) (-x+y,-x,z) (-x,-y,z) (y,-x+y,z) (x-y,x,z) (-y,-x,z) (-x+y,y,z) (x,x-y,z) (y,x,z) (x-y,-y,z) (-x,-x+y,z)"
77,6,e,e,.m.,"(x,-x,z) (x,2x,z) (-2x,-x,z) (-x,x,z) (-x,-2x,z) (2x,x,z)"
77,6,d,d,..m,"(x,0,z) (0,x,z) (-x,-x,z) (-x,0,z) (0,-x,z) (x,x,z)"
77,3,c,c,2mm,"(1/2,0,z) (0,1/2,z) (1/2,1/2,z)"
77,2,b,b,3m.,"(1/3,2/3,z) (2/3,1/3,z)"
77,1,a,a,6mm,"(0,0,z)"
78,12,j,o,1,"(x,y,z) (-y,x-y,z) (-x+y,-x,z) (x,y,-z) (-y,x-y,-z) (-x+y,-x,-z) (-y,-x,z) (-x+y,y,z) (x,x-y,z) (-y,-x,-z) (-x+y,y,-z) (x,x-y,-z)"
78,6,i,n,.m.,"(x,-x,z) (x,2x,z) (-2x,-x,z) (x,-x,-z) (x,2x,-z) (-2x,-x,-z)"
78,6,h,l,m..,"(x,y,0) (-y,x-y,0) (-x+y,-x,0) (-y,-x,0) (-x+y,y,0) (x,x-y,0)"
78,3,g,j,mm2,"(x,-x,0) (x,2x,0) (-2x,-x,0)"
78,2,f,i,3m.,"(2/3,1/3,z) (2/3,1/3,-z)"
78,2,e,h,3m.,"(1/3,2/3,z) (1/3,2/3,-z)"
78,2,d,g,3m.,"(0,0,z) (0,0,-z)"
